STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,TOBS,indicator
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/1/2018,0,52,58,45,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/2/2018,0,54,59,50,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/3/2018,0.3,55,58,51,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/4/2018,0.03,54,63,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/5/2018,0.19,59,64,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/6/2018,0,54,58,48,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/7/2018,0,51,53,47,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/8/2018,3.12,53,58,51,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/9/2018,0.42,56,58,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/10/2018,0,54,58,51,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/11/2018,0,55,58,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/12/2018,0,53,55,50,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/13/2018,0,53,60,46,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/14/2018,0,53,56,48,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/15/2018,0,53,58,48,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/16/2018,0,56,59,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/17/2018,0,56,58,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/18/2018,0.15,54,60,50,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/19/2018,0,53,57,47,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/20/2018,0,50,56,44,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/21/2018,0,49,57,42,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/22/2018,0.25,55,58,51,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/23/2018,0,51,57,45,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/24/2018,0.27,51,60,45,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/25/2018,0.12,51,58,45,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/26/2018,0,49,54,42,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/27/2018,0,49,60,42,,
